Date,Open,High,Low,Close,Volume,Year,Quarter,Month,DayOfWeek,SMA_5,SMA_10,SMA_30,SMA_90,EMA_5,EMA_10,EMA_13,TP,MA,MD,CCI,RSI_14,BB_Mid,BB_Upper,BB_Lower,Volume_SMA_5,Volume_SMA_10,L14,H14,%K,%D,VWAP,EMA_12,EMA_26,MACD,MACD_Signal,TR,ATR,+DM,-DM,+DI,-DI,ADX,MACD_Histogram,CMO,Williams %R,Bull Power,Bear Power,Keltner_Mid,Keltner_Upper,Keltner_Lower,Pivot,Resistance_1,Support_1,Resistance_2,Support_2,VPT,Volume_oscillator,OBV
2015-05-25,54.48,54.99,53.97,54.61,4801003,2015,2,5,0,54.42,54.54,55.13,53.6,54.44,54.59,54.69,54.52,55.34,0.88,-61.57,46.9,55.22,57.71,52.72,10032105.0,9575325.2,53.28,56.38,42.9,30.54,54.21,54.66,54.91,-0.25,-0.14,1.02,1.32,0.32,0.31,16.87,20.23,9.06,-0.1,-6.21,-57.1,0.3,-0.72,55.22,57.85,52.58,54.52,55.08,54.06,55.54,53.5,2823247.81,-0.22,66002883
2015-05-26,54.99,55.24,54.73,54.73,7291025,2015,2,5,1,54.33,54.48,55.11,53.69,54.54,54.62,54.7,54.9,55.12,0.64,-22.71,51.31,55.0,56.69,53.3,9210423.0,9471712.2,53.34,56.38,45.72,42.45,54.22,54.67,54.89,-0.22,-0.16,0.63,1.2,0.25,0.76,18.95,26.84,17.23,-0.06,2.63,-54.28,0.54,0.03,55.0,57.39,52.61,54.9,55.07,54.56,55.41,54.39,2839269.1,-0.26,73293908
2015-05-27,54.73,55.37,53.59,54.92,15422087,2015,2,5,2,54.47,54.51,55.12,53.79,54.67,54.67,54.73,54.63,54.95,0.5,-42.81,44.68,54.87,56.14,53.6,9940127.2,9748498.3,53.34,56.38,51.97,46.87,54.22,54.71,54.89,-0.19,-0.16,1.78,1.16,0.13,0.0,17.19,24.15,16.84,-0.02,-10.63,-48.03,0.64,-1.14,54.87,57.19,52.55,54.63,55.66,53.88,56.41,52.85,2892808.23,-0.27,88715995
2015-05-28,55.49,57.27,55.18,55.94,16827834,2015,2,5,3,54.94,54.66,55.21,53.89,55.09,54.9,54.9,56.13,54.92,0.47,171.21,57.7,54.86,56.1,53.63,11082678.8,10659851.4,53.34,57.27,66.16,54.62,54.24,54.9,54.97,-0.07,-0.15,2.35,1.21,1.9,1.59,27.6,28.37,1.37,0.07,15.39,-33.84,2.37,0.28,54.86,57.29,52.44,56.13,57.08,54.99,58.22,54.04,3205342.66,-0.24,105543829
2015-05-29,55.94,56.51,55.18,55.75,14804722,2015,2,5,4,55.19,54.85,55.24,53.98,55.31,55.06,55.02,55.81,54.93,0.48,123.05,50.0,54.89,56.17,53.6,11829334.2,11260866.9,53.34,57.27,61.32,59.82,54.26,55.03,55.03,0.0,-0.12,1.33,1.19,0.0,0.0,26.73,24.8,3.74,0.12,0.0,-38.68,1.49,0.16,54.89,57.26,52.52,55.81,56.45,55.12,57.14,54.48,3155058.48,-0.24,90739107
2015-06-01,55.49,55.62,54.1,54.86,9101995,2015,2,6,0,55.24,54.83,55.25,54.06,55.16,55.02,55.0,54.86,54.91,0.47,-7.66,47.18,54.88,56.16,53.6,12689532.6,11360818.8,53.34,57.27,38.68,55.39,54.26,55.0,55.02,-0.01,-0.1,1.65,1.26,0.0,0.0,25.1,23.29,3.74,0.08,-5.64,-61.32,0.62,-0.9,54.88,57.4,52.35,54.86,55.62,54.1,56.38,53.34,3009753.08,-0.21,81637112
2015-06-02,54.61,54.99,54.16,54.86,7754424,2015,2,6,1,55.27,54.8,55.32,54.13,55.06,54.99,54.98,54.67,54.89,0.46,-31.71,51.32,54.86,56.13,53.59,12782212.4,10996317.7,53.34,57.27,38.68,46.23,54.27,54.98,55.01,-0.02,-0.08,0.83,1.25,0.0,0.06,25.46,23.97,3.02,0.06,2.65,-61.32,0.01,-0.82,54.86,57.35,52.37,54.67,55.18,54.35,55.5,53.84,3009753.08,-0.22,81637112
2015-06-03,54.48,54.61,53.47,54.04,15195402,2015,2,6,2,55.09,54.78,55.31,54.2,54.72,54.82,54.84,54.04,54.87,0.48,-114.62,47.55,54.84,56.15,53.52,12736875.4,11338501.3,53.34,57.27,17.81,31.72,54.26,54.84,54.93,-0.1,-0.08,1.39,1.29,0.0,0.0,24.57,23.13,3.02,-0.01,-4.91,-82.19,-0.23,-1.37,54.84,57.42,52.25,54.04,54.61,53.47,55.18,52.9,2782625.31,-0.16,66441710
2015-06-04,53.59,54.16,52.01,52.58,17416111,2015,2,6,3,54.42,54.68,55.21,54.25,54.01,54.41,54.52,52.92,54.75,0.55,-223.41,42.64,54.67,56.25,53.1,12854530.8,11968604.8,52.01,57.27,10.84,22.44,54.25,54.49,54.76,-0.27,-0.12,2.15,1.35,0.0,0.0,23.5,22.13,3.02,-0.15,-14.72,-89.16,-0.36,-2.51,54.67,57.37,51.98,52.92,53.82,51.67,55.07,50.77,2312093.82,-0.09,49025599
2015-06-05,52.45,54.1,52.45,53.91,10279051,2015,2,6,4,54.05,54.62,55.13,54.33,53.97,54.32,54.43,53.49,54.67,0.58,-135.37,43.49,54.64,56.25,53.02,11949396.6,11889365.4,52.01,57.27,36.12,21.59,54.24,54.4,54.7,-0.3,-0.16,1.65,1.38,0.0,0.44,21.73,21.32,0.96,-0.14,-13.01,-63.88,-0.33,-1.98,54.64,57.39,51.88,53.49,54.52,52.87,55.14,51.84,2572100.24,-0.03,59304650
2015-06-08,53.85,54.48,53.09,54.35,7277484,2015,2,6,0,53.95,54.59,55.01,54.39,54.1,54.33,54.42,53.97,54.58,0.57,-71.29,45.42,54.57,56.09,53.04,11584494.4,12137013.5,52.01,57.27,44.49,30.48,54.24,54.39,54.67,-0.28,-0.18,1.39,1.37,0.38,0.64,18.48,21.45,7.43,-0.1,-9.15,-55.51,0.06,-1.33,54.57,57.31,51.82,53.97,54.86,53.47,55.36,52.58,2631497.25,-0.03,66582134
2015-06-09,54.35,54.73,53.21,53.21,12165750,2015,2,6,1,53.62,54.44,54.81,54.45,53.8,54.12,54.25,53.72,54.5,0.58,-89.46,44.49,54.46,56.06,52.86,12466759.6,12624486.0,52.01,57.27,22.81,34.47,54.24,54.21,54.56,-0.35,-0.22,1.52,1.4,0.25,0.12,19.33,21.57,5.47,-0.14,-11.02,-77.19,0.48,-1.04,54.46,57.27,51.65,53.72,54.22,52.7,55.24,52.2,2376318.69,-0.03,54416384
2015-06-10,53.21,53.21,48.78,51.31,35941573,2015,2,6,2,53.07,54.08,54.61,54.47,52.97,53.61,53.83,51.1,54.31,0.75,-285.42,39.16,54.29,56.42,52.17,16615993.8,14676434.6,48.78,57.27,29.8,32.37,54.16,53.76,54.32,-0.56,-0.28,4.43,1.66,0.0,0.0,16.38,18.28,5.47,-0.27,-21.67,-70.2,-0.62,-5.05,54.29,57.61,50.98,51.1,53.42,48.99,55.53,46.67,1092932.32,0.06,18474811
2015-06-11,51.63,51.63,49.03,50.3,24685069,2015,2,6,3,52.62,53.52,54.41,54.48,52.08,53.01,53.32,50.32,54.09,0.95,-265.01,30.36,54.09,56.86,51.31,18069785.4,15462158.1,48.78,57.27,17.9,23.51,54.1,53.23,54.02,-0.79,-0.39,2.6,1.77,0.0,0.25,13.07,16.87,12.7,-0.41,-39.29,-82.1,-1.69,-4.29,54.09,57.62,50.56,50.32,51.61,49.01,52.92,47.72,607024.7,0.12,-6210258
2015-06-12,49.41,50.99,48.9,50.8,23140403,2015,2,6,4,51.99,53.02,54.27,54.49,51.65,52.61,52.96,50.23,53.9,1.18,-206.74,32.7,53.93,57.08,50.79,20642055.8,16295726.2,48.78,57.27,23.79,23.83,54.05,52.86,53.78,-0.93,-0.49,2.09,1.84,0.0,0.0,11.28,14.97,14.03,-0.43,-34.6,-76.21,-1.97,-4.06,53.93,57.62,50.25,50.23,51.56,49.47,52.32,48.14,837048.59,0.17,16930145
2015-06-15,50.68,52.26,50.61,52.07,14172813,2015,2,6,0,51.54,52.74,54.17,54.51,51.79,52.51,52.84,51.65,53.74,1.28,-108.79,39.06,53.79,56.99,50.59,22021121.6,16802808.0,48.78,57.27,38.75,26.82,54.03,52.74,53.66,-0.92,-0.58,1.65,1.91,1.27,1.71,14.66,17.94,10.07,-0.34,-21.87,-61.25,-0.58,-2.23,53.79,57.62,49.96,51.65,52.68,51.03,53.3,50.0,1191368.92,0.22,31102958
2015-06-16,51.06,51.82,49.98,50.49,13235983,2015,2,6,1,50.99,52.31,54.01,54.51,51.36,52.14,52.5,50.76,53.51,1.41,-129.76,33.65,53.55,57.0,50.1,22235168.2,17350963.9,48.78,57.27,20.14,27.56,54.0,52.39,53.42,-1.03,-0.67,2.09,1.94,0.0,0.0,14.01,17.74,11.73,-0.36,-32.69,-79.86,-0.68,-2.52,53.55,57.43,49.68,50.76,51.55,49.71,52.6,48.92,789739.32,0.22,17866975
2015-06-17,50.55,51.75,50.23,51.37,14093574,2015,2,6,2,51.01,52.04,53.9,54.52,51.36,52.0,52.34,51.12,53.34,1.53,-96.96,32.96,53.41,56.97,49.84,17865568.4,17240781.1,48.78,56.51,33.51,30.8,53.97,52.23,53.27,-1.04,-0.74,1.52,1.88,0.0,0.25,7.23,13.2,29.24,-0.29,-34.08,-66.49,-0.59,-2.11,53.41,57.16,49.65,51.12,52.0,50.48,52.64,49.6,1035378.95,0.19,31960549
2015-06-18,51.95,52.58,51.69,52.14,13091547,2015,2,6,3,51.37,51.99,53.78,54.54,51.62,52.03,52.31,52.14,53.26,1.59,-47.28,37.1,53.34,56.94,49.73,15546864.0,16808324.7,48.78,55.62,49.12,34.26,53.96,52.22,53.19,-0.97,-0.79,1.21,1.87,0.83,1.46,10.43,18.84,28.72,-0.18,-25.8,-50.88,0.27,-0.62,53.34,57.07,49.6,52.14,52.58,51.69,53.03,51.25,1231611.99,0.18,45052096
2015-06-22,52.71,55.3,52.71,55.18,18990366,2015,2,6,0,52.25,52.12,53.8,54.6,52.81,52.6,52.72,54.4,53.27,1.59,47.26,50.99,53.37,57.04,49.7,14716856.6,17679456.2,48.78,55.3,98.16,60.26,53.97,52.67,53.33,-0.66,-0.76,3.16,1.98,2.72,1.02,19.69,21.5,4.39,0.1,1.98,-1.84,2.58,-0.01,53.37,57.33,49.42,54.4,56.08,53.49,56.99,51.81,2338837.01,0.2,64042462
2015-06-23,55.24,56.38,53.97,54.1,18686448,2015,2,6,1,52.66,52.1,53.74,54.63,53.24,52.87,52.92,54.82,53.28,1.6,63.77,47.79,53.35,56.98,49.71,15619583.6,18820352.6,48.78,56.38,70.0,72.43,53.97,52.89,53.39,-0.5,-0.71,2.41,2.09,1.08,1.26,22.32,24.44,4.53,0.21,-4.41,-30.0,3.46,1.05,53.35,57.53,49.17,54.82,55.66,53.25,57.23,52.41,1973100.08,0.24,45356014
2015-06-24,53.85,54.04,53.09,53.72,8343705,2015,2,6,2,53.3,52.15,53.69,54.65,53.4,53.03,53.03,53.62,53.22,1.55,17.09,49.05,53.3,56.88,49.71,14641128.0,18438148.1,48.78,56.38,65.0,77.72,53.97,53.02,53.42,-0.39,-0.65,1.01,2.06,0.0,0.0,22.61,24.76,4.53,0.25,-1.91,-35.0,1.01,0.06,53.3,57.42,49.17,53.62,54.14,53.19,54.57,52.67,1914493.65,0.2,37012309
2015-06-25,53.72,54.92,53.72,54.42,15101118,2015,2,6,3,53.91,52.46,53.68,54.68,53.74,53.28,53.23,54.35,53.21,1.54,49.67,55.74,53.27,56.81,49.73,14842636.8,16354102.6,48.78,56.38,74.21,69.74,53.98,53.24,53.49,-0.25,-0.57,1.2,2.0,0.88,0.63,26.53,27.86,2.44,0.31,11.49,-25.79,1.69,0.49,53.27,57.26,49.28,54.35,54.99,53.79,55.55,53.15,2111269.2,0.17,52113427
2015-06-26,55.37,55.81,54.48,54.86,17010385,2015,2,6,4,54.46,52.92,53.7,54.71,54.11,53.57,53.46,55.05,53.15,1.5,84.51,53.14,53.22,56.62,49.81,15626404.4,15586634.2,48.78,56.38,80.0,73.07,53.99,53.49,53.59,-0.11,-0.48,1.39,1.98,0.89,0.76,30.0,29.27,1.22,0.37,6.28,-20.0,2.35,1.02,53.22,57.17,49.26,55.05,55.62,54.29,56.38,53.72,2248802.64,0.18,69123812
