Date,Open,High,Low,Close,Volume,Entity,Up_shadow,Low_shadow,SMA_En5,SMA_US5,SMA_LS5,SMA_En2,SMA_US2,SMA_LS2,Year,Quarter,Month,DayOfWeek,SMA_5,SMA_10,SMA_30,SMA_90,EMA_5,EMA_10,EMA_13,TP,MA,MD,CCI,RSI_14,BB_Mid,BB_Upper,BB_Lower,Volume_SMA_5,Volume_SMA_10,L14,H14,%K,%D,VWAP,EMA_12,EMA_26,MACD,MACD_Signal,TR,ATR,+DM,-DM,+DI,-DI,ADX,MACD_Histogram,CMO,Williams %R,Bull Power,Bear Power,Keltner_Mid,Keltner_Upper,Keltner_Lower,Pivot,Resistance_1,Support_1,Resistance_2,Support_2,VPT,Volume_oscillator,OBV,predict,target
2024-10-01,150.5,154.5,150.5,151.5,10543426,1.0,3.0,0.0,-0.4,1.1,0.4,-1.5,2.25,0.0,2024,4,10,1,156.5,155.55,150.87,157.35,154.47,154.31,153.79,152.17,150.57,5.21,20.37,58.75,150.62,163.46,137.79,21134039.2,23471374.4,141.0,163.5,46.67,57.93,76.68,153.96,152.62,1.34,0.86,4.0,5.07,0.0,0.0,34.51,31.69,4.26,0.48,17.5,-53.33,0.71,-3.29,150.62,160.77,140.48,152.17,153.83,149.83,156.17,148.17,53368534.89,0.3,1742936407,2,0
2024-10-04,150.0,153.5,149.0,151.0,18519897,1.0,2.5,1.0,-0.3,1.5,0.2,1.0,2.75,0.5,2024,4,10,4,155.0,155.4,150.73,157.29,153.31,153.71,153.39,151.17,150.53,5.18,8.16,61.84,150.6,163.43,137.77,19883750.4,22258669.8,146.0,163.5,28.57,39.89,76.73,153.51,152.5,1.0,0.89,4.5,5.14,0.0,0.0,34.03,31.25,4.26,0.11,23.68,-71.43,0.11,-4.39,150.6,160.89,140.31,151.17,153.33,148.83,155.67,146.67,53307413.11,0.32,1724416510,2,1
2024-10-07,153.0,155.0,152.0,155.0,12957530,2.0,0.0,1.0,-0.8,1.5,0.4,1.5,1.25,1.0,2024,4,10,0,153.5,155.7,150.82,157.3,153.88,153.94,153.62,154.0,151.07,4.85,40.29,60.27,151.18,163.69,138.66,17414258.0,20966127.9,146.0,163.5,51.43,42.22,76.76,153.74,152.69,1.05,0.92,4.0,4.89,1.5,3.0,29.93,29.93,0.0,0.13,20.55,-48.57,1.38,-1.62,151.18,160.96,141.39,154.0,156.0,153.0,157.0,151.0,53650658.94,0.32,1737374040,2,1
2024-10-08,152.5,153.0,151.5,153.0,11015367,0.5,0.0,1.0,0.1,1.4,0.6,1.25,0.0,1.0,2024,4,10,1,152.3,155.55,150.92,157.21,153.58,153.77,153.53,152.5,151.48,4.5,15.2,57.89,151.65,163.65,139.65,14291705.8,18541906.0,148.0,163.5,32.26,37.42,76.79,153.62,152.71,0.91,0.92,3.5,5.0,0.0,0.0,29.29,29.29,0.0,-0.01,15.79,-67.74,-0.53,-2.03,151.65,161.65,141.65,152.5,153.5,152.0,154.0,151.0,53508525.17,0.33,1726358673,2,1
2024-10-09,153.0,155.5,153.0,154.0,10316983,1.0,1.5,0.0,1.1,1.4,0.6,0.75,0.75,0.5,2024,4,10,2,152.9,155.25,151.03,157.16,153.72,153.81,153.6,154.17,152.05,4.02,35.12,50.0,152.28,163.31,141.24,12670640.6,17825490.7,148.0,163.5,38.71,40.8,76.82,153.68,152.81,0.87,0.91,2.5,4.54,2.5,1.5,23.62,25.98,4.76,-0.04,0.0,-61.29,1.9,-0.6,152.28,161.35,143.2,154.17,155.33,152.83,156.67,151.67,53575956.44,0.28,1736675656,2,1
2024-10-11,155.0,157.0,153.5,155.0,12002284,0.0,2.0,1.5,0.9,1.2,0.9,0.5,1.75,0.75,2024,4,10,4,153.6,155.05,151.27,157.13,154.15,154.03,153.8,155.17,152.77,3.46,46.29,53.97,152.93,162.89,142.96,12962412.2,17048225.7,148.0,163.5,45.16,38.71,76.85,153.88,152.97,0.91,0.91,3.5,4.32,1.5,0.5,27.27,28.1,1.49,0.0,7.94,-54.84,3.2,-0.3,152.93,161.57,144.28,155.17,156.83,153.33,158.67,151.67,53653893.35,0.19,1748677940,2,0
2024-10-14,156.0,160.5,155.0,158.0,14793412,2.0,2.5,1.0,1.1,1.2,0.9,1.0,2.25,1.25,2024,4,10,0,155.0,155.0,151.63,157.17,155.43,154.75,154.4,157.83,153.44,3.21,91.09,58.82,153.6,162.97,144.23,12217115.2,16050432.8,149.0,163.5,62.07,48.65,76.89,154.52,153.34,1.17,0.96,5.5,4.39,3.5,1.5,32.52,30.08,3.9,0.21,17.65,-37.93,6.1,0.6,153.6,162.39,144.81,157.83,160.67,155.17,163.33,152.33,53940217.45,0.13,1763471352,2,0
2024-10-15,159.5,169.0,158.5,168.5,34602584,9.0,0.5,1.0,2.5,1.3,0.9,5.5,1.5,1.0,2024,4,10,1,157.7,155.6,152.18,157.36,159.79,157.25,156.41,165.33,154.59,3.2,223.73,66.67,154.93,164.87,144.98,16546126.0,16980192.0,149.0,169.0,97.5,68.24,76.99,156.67,154.47,2.2,1.21,11.0,4.82,8.5,3.5,35.56,25.93,15.66,0.99,33.33,-2.5,12.59,2.09,154.93,164.57,145.28,165.33,172.17,161.67,175.83,154.83,56239756.26,0.08,1798073936,0,-1
2024-10-16,163.5,169.0,163.0,165.0,33917206,1.5,4.0,0.5,2.7,2.1,0.8,5.25,2.25,0.75,2024,4,10,2,160.1,156.2,152.62,157.46,161.53,158.66,157.64,165.67,155.49,3.54,191.66,59.3,155.8,166.07,145.53,21126493.8,17709099.8,149.0,169.0,80.0,79.86,77.1,157.95,155.25,2.7,1.51,6.0,4.96,0.0,4.5,34.53,30.94,5.49,1.19,18.6,-20.0,11.36,5.36,155.8,165.73,145.87,165.67,168.33,162.33,171.67,159.67,55535244.56,0.09,1764156730,2,-1
2024-10-17,166.0,166.5,163.0,165.5,14912181,-0.5,0.5,2.5,2.4,1.9,1.3,0.5,2.25,1.5,2024,4,10,3,162.4,157.65,153.02,157.58,162.85,159.9,158.76,165.0,156.39,3.84,149.35,59.77,156.72,166.99,146.46,22045533.4,17358087.0,149.0,169.0,82.5,86.67,77.14,159.11,156.01,3.11,1.83,3.5,4.86,0.0,0.0,35.29,31.62,5.49,1.28,19.54,-17.5,7.74,4.24,156.72,166.44,147.01,165.0,167.0,163.5,168.5,161.5,55580432.99,0.05,1779068911,0,-1
2024-10-18,173.0,173.0,161.0,163.5,35535129,-9.5,0.0,2.5,0.5,1.5,1.5,-5.0,0.25,2.5,2024,4,10,4,164.1,158.85,153.37,157.7,163.07,160.56,159.44,165.83,156.99,4.31,136.87,55.68,157.2,167.8,146.6,26752102.4,19857257.3,149.0,173.0,60.42,74.31,77.25,159.79,156.56,3.23,2.11,12.0,5.5,6.5,0.0,37.01,22.73,23.91,1.12,11.36,-39.58,13.56,1.56,157.2,168.2,146.2,165.83,170.67,158.67,177.83,153.83,55151005.45,0.06,1743533782,0,-1
2024-10-21,164.0,164.5,161.0,161.5,16923674,-2.5,0.5,0.5,-0.4,1.1,1.4,-6.0,0.25,1.5,2024,4,10,0,164.8,159.9,153.7,157.77,162.54,160.73,159.73,162.33,157.49,4.39,73.51,48.81,157.65,168.18,147.12,27178154.8,19697635.0,149.0,173.0,52.08,65.0,77.3,160.05,156.93,3.12,2.31,3.5,5.43,0.0,0.0,32.89,20.39,23.46,0.81,-2.38,-47.92,4.77,1.27,157.65,168.51,146.79,162.33,163.67,160.17,165.83,158.83,54943988.03,0.01,1726610108,1,-1
2024-10-22,161.5,164.5,161.0,164.0,13624689,2.5,0.5,0.5,-1.7,1.1,1.3,0.0,0.5,0.5,2024,4,10,1,163.9,160.8,154.38,157.88,163.03,161.32,160.34,163.17,158.11,4.4,76.7,56.1,158.25,168.79,147.71,22982575.8,19764350.9,149.0,173.0,62.5,58.33,77.34,160.66,157.45,3.21,2.49,3.5,5.36,0.0,0.0,32.0,19.33,24.68,0.72,12.2,-37.5,4.16,0.66,158.25,168.96,147.54,163.17,165.33,161.83,166.67,159.67,55154896.53,-0.05,1740234797,1,-1
2024-10-23,164.0,164.5,161.0,161.5,11623014,-2.5,0.5,0.5,-2.5,0.4,1.3,0.0,0.5,0.5,2024,4,10,2,163.2,161.65,154.98,157.95,162.52,161.36,160.51,162.33,158.49,4.47,57.24,64.79,158.6,169.08,148.12,18523737.4,19825115.6,149.0,173.0,52.08,55.56,77.37,160.79,157.75,3.04,2.6,3.5,5.04,0.0,0.0,34.04,20.57,24.68,0.44,29.58,-47.92,3.99,0.49,158.6,168.67,148.53,162.33,163.67,160.17,165.83,158.83,54977716.44,-0.07,1728611783,0,-1
2024-10-24,161.0,162.5,159.0,159.0,9484095,-2.0,1.5,0.0,-2.8,0.6,0.8,-2.25,1.0,0.25,2024,4,10,3,161.9,162.15,155.57,157.97,161.35,160.93,160.29,160.17,158.72,4.42,21.89,60.0,158.7,169.15,148.25,17438120.2,19741826.8,149.0,173.0,41.67,52.08,77.4,160.51,157.84,2.67,2.61,3.5,5.0,0.0,0.0,34.29,20.71,24.68,0.06,20.0,-58.33,2.21,-1.29,158.7,168.7,148.7,160.17,161.33,157.83,163.67,156.67,54830903.82,-0.08,1719127688,0,-1
2024-10-25,159.0,163.0,159.0,162.0,9396278,3.0,1.0,0.0,-0.3,0.8,0.3,0.5,1.25,0.0,2024,4,10,4,161.6,162.85,156.23,158.0,161.56,161.12,160.54,161.33,159.02,4.35,35.52,63.75,158.95,169.47,148.43,12210350.0,19481226.2,151.5,173.0,48.84,47.53,77.42,160.74,158.15,2.59,2.61,4.0,4.96,0.5,0.0,35.25,20.86,25.64,-0.02,27.5,-51.16,2.46,-1.54,158.95,168.88,149.02,161.33,163.67,159.67,165.33,157.33,55008192.08,-0.11,1728523966,0,-1
2024-10-28,162.5,163.5,159.5,161.0,10029721,-1.5,1.0,1.5,-0.1,0.9,0.5,0.75,1.0,0.75,2024,4,10,0,161.5,163.15,156.78,158.0,161.38,161.1,160.6,161.33,159.19,4.37,32.67,58.11,159.07,169.63,148.52,10831559.4,19004857.1,151.5,173.0,44.19,44.9,77.45,160.78,158.36,2.42,2.57,4.0,4.96,0.5,0.5,33.81,17.27,32.39,-0.15,16.22,-55.81,2.9,-1.1,159.07,169.0,149.15,161.33,163.17,159.17,165.33,157.33,54946280.23,-0.11,1718494245,0,-1
2024-10-29,159.5,159.5,155.5,158.5,17231596,-1.0,0.0,3.0,-0.8,0.8,1.0,-1.25,0.5,2.25,2024,4,10,1,160.4,162.15,157.33,157.97,160.42,160.63,160.3,157.83,159.03,4.36,-18.33,57.33,158.88,169.31,148.44,11552940.8,17267758.3,153.0,173.0,27.5,40.17,77.5,160.43,158.37,2.06,2.47,5.5,5.11,0.0,0.0,32.87,16.78,32.39,-0.41,14.67,-72.5,-0.8,-4.8,158.88,169.09,148.66,157.83,160.17,156.17,161.83,153.83,54678708.86,-0.1,1701262649,0,-1
2024-10-30,158.5,160.0,157.0,157.0,13443105,-1.5,1.5,0.0,-0.6,1.0,0.9,-1.25,0.75,1.5,2024,4,10,2,159.5,161.35,157.65,157.87,159.28,159.97,159.83,158.0,158.91,4.34,-13.95,53.95,158.78,169.25,148.3,11916959.0,15220348.2,153.5,173.0,17.95,29.88,77.54,159.9,158.27,1.63,2.3,3.0,5.14,0.5,1.5,29.86,16.67,28.36,-0.67,7.89,-82.05,0.17,-2.83,158.78,169.06,148.49,158.0,159.0,156.0,161.0,155.0,54551487.05,-0.07,1687819544,1,-1
2024-11-01,145.5,155.0,145.0,154.0,30646210,8.5,1.0,0.5,1.5,0.9,1.0,3.5,1.25,0.25,2024,4,11,4,158.5,160.2,157.88,157.65,157.52,158.88,159.0,151.33,158.83,4.42,-113.21,48.75,158.93,169.01,148.84,16149382.0,16793751.1,145.0,173.0,32.14,25.86,77.61,158.99,157.95,1.04,2.05,12.0,5.75,0.0,0.0,24.84,14.29,26.98,-1.01,-2.5,-67.86,-4.0,-14.0,158.93,170.42,147.43,151.33,157.67,147.67,161.33,141.33,53965890.68,-0.01,1657173334,2,0
2024-11-04,154.5,155.5,151.5,152.5,12613121,-2.0,1.0,1.0,0.5,0.9,1.2,3.25,1.0,0.75,2024,4,11,0,156.6,159.1,157.83,157.43,155.85,157.72,158.07,153.17,158.88,4.37,-87.28,42.86,158.98,168.91,149.04,16792750.6,14501550.3,145.0,173.0,26.79,25.63,77.64,158.0,157.55,0.45,1.73,4.0,5.64,0.5,6.5,21.52,20.89,1.49,-1.28,-14.29,-73.21,-2.57,-6.57,158.98,170.26,147.69,153.17,154.83,150.83,157.17,149.17,53843035.6,0.01,1644560213,2,0
2024-11-05,150.0,150.5,148.0,150.0,17308986,0.0,0.5,2.0,0.8,0.8,1.3,-1.0,0.75,1.5,2024,4,11,1,154.4,157.95,157.75,157.22,153.9,156.32,156.92,149.5,158.8,4.45,-139.33,19.67,158.93,169.04,148.81,18248603.6,14540081.5,145.0,173.0,17.86,25.6,77.69,156.77,156.99,-0.23,1.34,4.5,5.18,0.0,0.0,11.72,17.93,20.93,-1.56,-60.66,-82.14,-6.42,-8.92,158.93,169.28,148.57,149.5,151.0,148.5,152.0,147.0,53559281.73,-0.02,1627251227,2,0
2024-11-06,151.0,154.5,150.5,152.0,13421941,1.0,2.5,0.5,1.2,1.3,0.8,0.5,1.5,1.25,2024,4,11,2,153.1,156.75,157.75,157.05,153.26,155.53,156.21,152.33,158.72,4.53,-93.87,27.59,158.78,169.22,148.33,17486672.6,14519806.7,145.0,173.0,25.0,23.21,77.72,156.03,156.62,-0.59,0.95,4.5,5.07,4.0,2.5,17.61,15.49,6.38,-1.54,-44.83,-75.0,-1.71,-5.71,158.78,168.92,148.63,152.33,154.17,150.17,156.33,148.33,53738240.95,-0.09,1640673168,2,0
2024-11-07,151.5,158.0,151.0,156.0,15612074,4.5,2.0,0.5,2.4,1.4,0.9,2.75,2.25,0.5,2024,4,11,3,152.9,156.2,157.8,156.96,154.18,155.62,156.18,155.0,158.84,4.41,-58.1,35.38,158.93,169.1,148.75,17920466.4,14918712.7,145.0,173.0,39.29,27.38,77.76,156.03,156.58,-0.55,0.65,7.0,5.32,3.5,0.5,21.48,15.44,16.36,-1.2,-29.23,-60.71,1.82,-5.18,158.93,169.57,148.28,155.0,159.0,152.0,162.0,148.0,54149085.0,-0.08,1656285242,2,0
2024-11-08,158.0,159.5,155.0,155.5,12460015,-2.5,1.5,0.5,0.2,1.5,0.9,1.0,1.75,0.5,2024,4,11,4,153.2,155.85,157.75,156.83,154.62,155.6,156.09,156.67,158.97,4.28,-35.8,37.1,159.0,169.04,148.96,14283227.4,15216304.7,145.0,164.5,53.85,39.38,77.79,155.95,156.5,-0.55,0.41,4.5,4.79,1.5,4.0,16.42,23.13,16.98,-0.96,-25.81,-46.15,3.41,-1.09,159.0,168.57,149.43,156.67,158.33,153.83,161.17,152.17,54109149.05,-0.16,1643825227,2,-1
2024-11-11,155.0,159.0,153.5,157.5,8019989,2.5,1.5,1.5,1.1,1.6,1.0,0.0,1.5,1.0,2024,4,11,0,154.2,155.4,157.77,156.73,155.58,155.94,156.29,156.67,159.04,4.21,-37.62,43.55,159.12,169.02,149.23,13364601.0,15078675.8,145.0,164.5,64.1,52.41,77.82,156.19,156.57,-0.38,0.25,5.5,4.93,0.0,0.0,15.94,22.46,16.98,-0.64,-12.9,-35.9,2.71,-2.79,159.12,168.98,149.27,156.67,159.83,154.33,162.17,151.17,54212300.04,-0.16,1651845216,2,-1
